,Palabras,+Women,+Women (valores),+Men,+Men (valores),+Tokio,+Tokio (valores),+Japan,+Japan (valores)
18628,froze,By_Karen_Breytenbach,0.6024755239486694,By_Sy_Lerman,0.5725763440132141,Nuwe,0.5140767693519592,South_Africa,0.5267840623855591
18629,frozen,Adviser,0.6591734886169434,Adviser,0.6741842031478882,Adviser,0.5516527891159058,Adviser,0.55702805519104
18630,frugal,inswinging,0.4969618320465088,cushioned_volley,0.562206506729126,latched_onto_loose,0.4443163275718689,inswinging_free,0.4670563340187073
18631,fruit,Actress_Drama,0.5194895267486572,Comedy,0.4944274425506592,Learned_Ladies,0.4587520956993103,Playwriting,0.4201560318470001
18632,fruitful,Rockies,0.6535828709602356,Rockies,0.6456467509269714,Milwaukee_Brewers,0.5013895034790039,Rockies,0.6291007995605469
18633,fruition,3DTV,0.667922854423523,HD,0.6940662860870361,HD,0.5026249885559082,HDTVs,0.611631453037262
18634,fruits,Abigail,0.6405496001243591,Joshua,0.688836932182312,Joshua,0.5750126838684082,Ethan,0.5181596875190735
18635,frustrate,Shumaker_Loop_&,0.4964304566383362,Byrd,0.5165241956710815,Convington,0.4732401371002197,Davis,0.4534810185432434
18636,frustrated,Fees,0.6593487858772278,Fees,0.6290186643600464,Fi_Fo_Fum,0.48591148853302,Fees,0.5892568826675415
18637,frustrating,UK_confectioner_Cadbury,0.5637177228927612,Cadbury_Plc,0.5880459547042847,confectioner,0.5235600471496582,Cadbury_PLC_CBY,0.520211935043335
18638,frustration,religious,0.6248366832733154,religious,0.5643105506896973,religious,0.4690228998661041,religious,0.5205305218696594
18639,frustrations,reform,0.6311643123626709,overhauling,0.6516713500022888,reform,0.4923356771469116,overhauling,0.5558465123176575
18640,ft,mother,0.7803205251693726,uncle,0.6859192252159119,uncle,0.5498936176300049,stepson,0.543518602848053
18641,fucking,pricy,0.6879807710647583,pricy,0.6825624704360962,pricy,0.594010591506958,expensive,0.5712798833847046
18642,fuel,Cyclone_Giri,0.6144511699676514,Cyclone_Nargis,0.6062406897544861,tropical_cyclone,0.49604731798171997,Cyclone_Nargis,0.5910454988479614
18643,fueled,##mpg,0.6488547325134277,L/###_km,0.6412197947502136,##mpg,0.5578795671463013,mpg_city/##_mpg,0.5452516078948975
18644,fueling,Nelson_Mandela,0.7003701329231262,Nelson_Mandela,0.7098510265350342,Madiba,0.5729364156723022,Nelson_Mandela,0.6530674695968628
18645,fuels,pocketbooks,0.6915007829666138,pocketbooks,0.5886569023132324,pocketbooks,0.5235480070114136,pocketbooks,0.5431027412414551
18646,fugitive,Winter_Games,0.7804462909698486,Winter_Games,0.7070678472518921,Winter_Games,0.5910990238189697,Winter_Games,0.6474326252937317
18647,fugitives,Barrera,0.6898966431617737,Barrera,0.6716955900192261,Barrera,0.6025283932685852,Pacquiao,0.5472773313522339
18648,fulfill,Berkbigler,0.5611149072647095,Miller,0.5360991358757019,Mazgaj,0.5044389963150024,Barnhart,0.4741033613681793
18649,fulfilled,Planned_Parenthood_clinics,0.6168770790100098,defund_Planned_Parenthood,0.4934004843235016,Planned_Parenthood_clinic,0.4692983031272888,Planned_Parenthood_clinics,0.517371654510498
18650,fulfilling,obscenity_spam_name,0.7080179452896118,obscenity_spam_name,0.7056174278259277,discourse_civil,0.5469149947166443,obscenity_spam_name,0.6312137842178345
18651,fulfillment,nabs,0.5147050619125366,nab,0.6104615926742554,apprehended,0.5032259821891785,nabbing,0.4858662486076355
18652,fulfills,fabricate,0.581874668598175,fabricating,0.6073672771453857,fabricating,0.5110300779342651,fabricating,0.47585898637771606
18653,full,tarantula_named_Lulu,0.5340224504470825,Epogen_treats,0.5132434964179993,Newly_remodeled,0.47493883967399597,###-####_emoran@investorrelationsgroup.com,0.5228012800216675
18654,full_fledged,sailors,0.6179824471473694,seaman,0.6421125531196594,seaman,0.5493324398994446,sailors,0.5704542994499207
18655,fullback,John_F._Kennedy,0.6587674617767334,John_F._Kennedy,0.6487134695053101,Mayor_Fiorello_H.,0.48665887117385864,John_F._Kennedy,0.6149837970733643
18656,fullest,Volkswagen,0.741360068321228,Volkswagen,0.7261692881584167,Volkswagen,0.5990555286407471,Volkswagen,0.6230852603912354
18657,fully,Mrs._Arroyo,0.7531077861785889,Arroyo,0.6693297624588013,Nacario,0.5507146716117859,Arroyo,0.6218949556350708
18658,fully_integrated,convert,0.5171416997909546,convert,0.6049304008483887,convert,0.48275381326675415,convert,0.4533814787864685
18659,fumble,frozen,0.5727909803390503,frozen,0.5415188670158386,frozen,0.43825119733810425,frozen,0.4859566390514374
18660,fumbled,Exit_##A,0.5722072124481201,Exits,0.5297814607620239,Exit_###B,0.530962347984314,Exits,0.41174980998039246
18661,fumbles,Cuba,0.6074752807617188,Cuban,0.6119911074638367,El_Cubanito,0.45162275433540344,Cuba,0.6136547327041626
18662,fumes,Strategists,0.6518990993499756,pundits,0.519216001033783,Strategists,0.4700668156147003,analysts,0.5339573621749878
18663,fun,audit,0.5677574872970581,Audited,0.5541542768478394,audited_financials,0.5125266313552856,independently_audited,0.47779417037963867
18664,function,ResCap,0.5621517300605774,GMAC_Financial,0.5163853168487549,Amresco,0.4550183415412903,FFELP_lenders,0.47810375690460205
18665,functional,multiplayer_mode,0.7393145561218262,multiplayer_mode,0.7284677028656006,multiplayer_mode,0.5981393456459045,multiplayer_mode,0.622207760810852
18666,functionality,shipping,0.579788088798523,shipping,0.5608648061752319,Interocean,0.4955151379108429,shipping,0.5333459377288818
18667,functioning,Sensex,0.6435596942901611,Sensex,0.5735905170440674,NSE_Nifty,0.4910522997379303,Sensex,0.5487964153289795
18668,functions,premierships,0.634130597114563,premierships,0.6260231733322144,premierships,0.5401965379714966,NRL_premiership,0.548413872718811
18669,fund,Maria,0.5882912874221802,Luis,0.6321212649345398,Leida,0.568590521812439,L._DeLauro,0.4587239623069763
18670,fund_raiser,Mozambican,0.6546159386634827,Mozambican,0.6311061978340149,Mocambique,0.5512151718139648,Zambia,0.5967205762863159
18671,fundamental,bustles,0.576802134513855,teeming,0.552742600440979,bustle,0.5187993049621582,normally_bustling,0.4730224311351776
18672,fundamentalist,groundless,0.6980082988739014,groundless,0.6070995330810547,baseless,0.5371631383895874,groundless,0.5743817090988159
18673,fundamentally,narrowed,0.6188685297966003,narrowed,0.6423596739768982,narrowed,0.47215041518211365,narrowed,0.5735825896263123
18674,fundamentals,shrugged,0.5560269355773926,shrugged,0.6453467607498169,shrugged,0.4556794762611389,shrugged,0.5440041422843933
18675,funded,readily_accessible,0.5828317403793335,readily_accessible,0.5782127380371094,readily_accessible,0.5082888007164001,available,0.49186521768569946
18676,funding,mutually_respectful,0.5147844552993774,brotherhood,0.4597225487232208,Tapas_Bar,0.37328439950942993,resist_protectionism,0.4301866888999939
18677,fundraiser,expressed_regret,0.6103909015655518,expressed_regret,0.6100654006004333,deeply_regretted,0.46229350566864014,expressed_regret,0.561170220375061
18678,fundraisers,impounded,0.5157023668289185,impounded,0.5347924828529358,impounded,0.47916972637176514,deemed_unseaworthy,0.4223064184188843
18679,fundraising,mentioned,0.5224653482437134,mentioned,0.5520305037498474,mentioned,0.47138816118240356,mentioned,0.4229274094104767
18680,funds,Drug_paraphernalia,0.6043276786804199,narcotics_paraphernalia,0.6512911915779114,Drug_paraphernalia,0.5786586999893188,controlled_substance,0.4862147569656372
18681,funeral,dishing,0.625075101852417,dishing,0.6602215766906738,dishing,0.5629370212554932,dishing,0.5074862241744995
18682,funerals,Princess_Adelah,0.5796868801116943,King_Abullah,0.5703710913658142,King_Abullah,0.49457770586013794,Saudi_Arabia,0.5615281462669373
18683,fungus,spite,0.5620992183685303,Notwithstanding,0.5704443454742432,Notwithstanding,0.4946748614311218,despite,0.5095220804214478
18684,funk,London_Heathrow,0.6998651027679443,Heathrow_airport,0.7127641439437866,Heathrow_airport,0.5633159279823303,Heathrow_Airport,0.594087541103363
18685,funky,Taleban_militants,0.6973231434822083,Taliban_fighters,0.7358629703521729,Taleban_militants,0.5481061935424805,Taliban_fighters,0.6462829113006592
18686,funnel,CPUs,0.7167848348617554,CPUs,0.6517141461372375,GPU,0.5660375356674194,CPUs,0.5755541324615479
18687,funneled,jurors,0.6126403212547302,jurors,0.6262479424476624,Juror,0.5613139271736145,jurors,0.5110466480255127
18688,funniest,Statewide,0.5749249458312988,nationally,0.49994295835494995,Statewide,0.4267924427986145,nationally,0.5047070384025574
18689,funny,equitably,0.5974948406219482,equitably,0.573122501373291,equitable_distribution,0.46421512961387634,equitably,0.5351452231407166
18690,fur,USBC,0.5540814995765686,bowling,0.5225009918212891,Sunset_Lanes,0.4841974973678589,PGA_Professional_Golfers,0.4099637269973755
18691,furious,flood_waters,0.7595577239990234,flood_waters,0.7211423516273499,flood_waters,0.6591485142707825,flood_waters,0.574364185333252
18692,furlong,Athletic_Director,0.7434947490692139,Athletic_Director,0.7547798156738281,Athletic_Director,0.6389055848121643,Athletic_Director,0.6081699132919312
18693,furlongs,heterogeneous,0.5012458562850952,divergent,0.49866780638694763,conglomeration,0.38693806529045105,Disparate,0.45306798815727234
18694,furlough,Executive_Producer,0.5865952968597412,producer,0.5852000713348389,Executive_Producer,0.4822654128074646,producer,0.5000427961349487
18695,furloughs,loopholes,0.6634522676467896,loopholes,0.6633604764938354,loopholes,0.5353960990905762,loopholes,0.568160355091095
18696,furnace,guaranteed,0.5819854140281677,guaranteed,0.6194411516189575,assuring,0.4486823081970215,guaranteed,0.5721026659011841
18697,furnish,wagons,0.5750502347946167,wagons,0.5692066550254822,haywagon,0.48990410566329956,wagons,0.47648268938064575
18698,furnished,email_inbox,0.5758293271064758,Inbox,0.5779942870140076,inboxes,0.42677250504493713,email_inbox,0.5413260459899902
18699,furnishings,Crossings,0.5911087989807129,Crossings,0.47025030851364136,Crossings,0.5135527849197388,Quality_Chasm,0.4788582921028137
18700,furniture,##/SR,0.5056198835372925,SH,0.5440750122070312,Jct,0.5141689777374268,Rythmol_R,0.40442991256713867
18701,furor,Kellie,0.517143726348877,Guelff,0.4777601361274719,Convington,0.4768106937408447,Conner,0.40542203187942505
18702,further,adapt,0.6171736717224121,adapt,0.6585149765014648,adapt,0.5004284381866455,adapt,0.5602392554283142
18703,furthering,agenda,0.5941002368927002,agenda,0.583002507686615,agenda,0.49791020154953003,agenda,0.48182711005210876
18704,fury,stripe,0.4922158718109131,stripe,0.49236035346984863,stripe,0.4105645418167114,stripe,0.4087847173213959
18705,fuse,Grilled,0.5582407712936401,grilling,0.5839768052101135,Grilled,0.4489770829677582,grilling,0.49572455883026123
18706,fuselage,Lopez,0.5759308338165283,Lopez,0.5785211324691772,Sedeno,0.5161910057067871,Garcia,0.47770342230796814
18707,fusion,Payments,0.6716355085372925,Payments,0.6756718158721924,Payments,0.5306830406188965,Payments,0.5901918411254883
18708,fuss,digested,0.544677734375,digesting,0.5624134540557861,digesting,0.3969417214393616,digested,0.5260436534881592
18709,futile,Murphy_Asparity,0.5587687492370605,Hegarty,0.5635203123092651,Gallagher,0.5069352388381958,O'Neill,0.47624534368515015
18710,futility,Daimler,0.6984561681747437,Daimler,0.668533980846405,Daimler,0.5609874725341797,DaimlerChrysler_AG,0.5910109281539917
18711,future,Arco_Arena,0.570720374584198,STAPLES_Center,0.5763289928436279,ipayOne_Center,0.4659889340400696,Los_Angeles_Lakers,0.5220443606376648
18712,futures,potatoes,0.6791331171989441,potatoes,0.6299980878829956,potatoes,0.5314087867736816,potatoes,0.5580124258995056
18713,futuristic,upmost,0.6086488962173462,upmost,0.5738651752471924,upmost,0.438321590423584,upmost,0.5416398644447327
18714,fuzzy,fantasy,0.5171048045158386,fantasy,0.5611722469329834,Kustomz,0.4484725594520569,fantasy,0.46380379796028137
18715,g,Hitachi,0.5856046676635742,Hitachi,0.5886397361755371,Siemens_Dematic,0.4739418029785156,Toshiba,0.5464910864830017
18716,g_t,Elk,0.47907668352127075,Elk,0.4991644620895386,Millston,0.47041818499565125,South_Korea,0.43180665373802185
18717,g_t_Au,orbiting_laboratory,0.6541118621826172,Space_Station,0.6081982254981995,docking_compartment,0.5243765115737915,orbiting_laboratory,0.5776969194412231
18718,g_t_gold,handcuffed,0.5765959024429321,handcuffed,0.6580264568328857,handcuffed,0.5331623554229736,handcuffed,0.49400901794433594
18719,gadget,Bayer_AG,0.5677670836448669,Bayer_AG,0.5835260152816772,BASF,0.4855203926563263,Bayer_AG,0.5217369794845581
18720,gadgets,payout,0.7005833983421326,payout,0.6510244011878967,payout,0.5897200107574463,payout,0.5369073152542114
18721,gag,tentative,0.522339403629303,Tentatively,0.531165361404419,Tentatively,0.4583631157875061,tentative,0.48800787329673767
18722,gain,Faulker,0.5203132629394531,Faulker,0.5382280349731445,Faulker,0.4658690392971039,Campbell,0.46123215556144714
18723,gained,Cure_Komen,0.6535545587539673,d'_Ars,0.48354220390319824,Cure_5K,0.5211551785469055,Cure_Komen,0.5536564588546753
18724,gainers,criminal,0.5320466160774231,criminal,0.5569547414779663,criminal,0.48002558946609497,criminal,0.4254158139228821
18725,gaining,outdated,0.6377947330474854,rendered_obsolete,0.5978835821151733,outdated,0.49105435609817505,outmoded,0.5504453182220459
18726,gains,monetary_tightening,0.569316029548645,monetary_tightening,0.5686124563217163,hike,0.40129154920578003,easings,0.5641489624977112
18727,gala,scanning,0.5530883073806763,scan,0.6039729714393616,scan,0.44248437881469727,scanning,0.5233087539672852
18728,galaxies,differentials,0.5789624452590942,differentials,0.5496774911880493,differentials,0.43561357259750366,differentials,0.5011320114135742
18729,galaxy,frank,0.6610780954360962,frank,0.6607430577278137,frank,0.5123792886734009,frank,0.5859489440917969
18730,galleries,Dow_Jones_newswires,0.5365597605705261,Reuters,0.5539028644561768,Geraldine_Amiel,0.4145963490009308,Reuters,0.549262523651123
18731,gallery,apology,0.644986629486084,apology,0.5978237390518188,apology,0.4676470160484314,apology,0.5612839460372925
18732,gallon,Buddhist_monks,0.6588872671127319,Buddhist_monks,0.6713393926620483,monk,0.567024827003479,Buddhist_monks,0.6636850833892822
18733,gallons,Special_Olympians,0.5915591716766357,Special_Olympians,0.6323686242103577,Special_Olympians,0.5011008977890015,Special_Olympians,0.5174104571342468
18734,gamble,heart_rending,0.6392031908035278,heartfelt,0.5571994781494141,heartrending,0.4969039261341095,heart_wrenching,0.48750486969947815
18735,gamblers,spitting,0.5248942375183105,spitting,0.619073748588562,spitting,0.4683021903038025,spitting,0.4855063259601593
18736,gambling,Moroccan,0.6598218679428101,Tunisian,0.6109745502471924,Moroccan,0.5204715728759766,Algeria,0.6534061431884766
18737,game,blockbuster_Titanic,0.6166229248046875,Titantic,0.6391353607177734,Titantic,0.5259809494018555,blockbuster_Titanic,0.4838055372238159
18738,gameplay,salmon,0.5435418486595154,salmon,0.5072760581970215,Hills_XC_Fri,0.46240130066871643,salmon,0.4921986162662506
18739,gamer,rocket_Kavoshgar_3,0.5211368203163147,Avocent_MergePoint_Infrastructure,0.5366120338439941,Sporting_Goods_Store,0.39812004566192627,rocket_Kavoshgar_3,0.47671252489089966
18740,gamers,Huckabee,0.7164872884750366,Huckabee,0.6977418661117554,Huckabee,0.5221776962280273,Huckabee,0.6490171551704407
18741,games,P_Margarita_Levieva,0.48268893361091614,Giles,0.49199599027633667,Deuchler,0.4642949104309082,Utley,0.41946107149124146
18742,gaming,corn,0.5776898860931396,Wheat,0.5809380412101746,Grain,0.50238037109375,Soybeans,0.5139033794403076
18743,gamut,doctoral_degree,0.7517404556274414,master_degree,0.6963838338851929,master_degree,0.6197628378868103,doctoral_degree,0.6362956166267395
18744,gang,Eighty,0.7816177010536194,Fifty,0.7499873638153076,Fifty,0.6207888126373291,Eighty,0.6631731986999512
18745,gangs,If,0.6224424839019775,Presuming,0.6449923515319824,Presuming,0.5636838674545288,If,0.5304305553436279
18746,gangster,Advertising,0.6001509428024292,Advertising,0.5430086851119995,Advertising,0.47982606291770935,Ads,0.5254039764404297
18747,gangsters,clandestine,0.6107901334762573,clandestine,0.5813184976577759,clandestine,0.5100400447845459,clandestine,0.4832730293273926
18748,gap,negotiations,0.6590280532836914,negotiations,0.6723551750183105,negotiations,0.5334076285362244,negotiations,0.5751693248748779
18749,gaps,la_redistribution_ou,0.501376748085022,reproducing,0.49509432911872864,reproducing,0.4320559501647949,habitat_poaching,0.46901947259902954
18750,garage,blend,0.61274254322052,blend,0.6895347237586975,blend,0.5490497350692749,blend,0.5361209511756897
18751,garages,leans,0.5413390398025513,Leaning,0.5536333322525024,leans,0.485598087310791,leaning,0.45470958948135376
18752,garb,Columbus_Blue_Jackets,0.6519325375556946,Columbus_Blue_Jackets,0.6909480094909668,PrairieThunder,0.5249224901199341,Columbus_Blue_Jackets,0.6193797588348389
18753,garbage,monsoons,0.7355431318283081,monsoons,0.6649518013000488,monsoons,0.5623365640640259,monsoons,0.6017258167266846
18754,garden,presidential_nominee,0.5928540229797363,presidential_nominee,0.5622997283935547,nomination,0.4666077494621277,presidential_nominee,0.5716485977172852
18755,gardener,Brookswood,0.5078660845756531,Langely,0.5082342624664307,Glanford,0.4667452573776245,Nanaimo,0.47152894735336304
18756,gardeners,paparazzi_photographers,0.6911849975585938,papparazzi,0.6255041360855103,papparazi,0.5470630526542664,paparazzi_photographers,0.5599349737167358
18757,gardening,Antepartum,0.5093222260475159,"Record_#-#,#-#_Scoring",0.4679511487483978,__________________________Item,0.4542107582092285,Product_Characteristics_SmPC,0.43247246742248535
18758,gardens,solicitors,0.656303346157074,Solicitor,0.6508454084396362,Solicitor,0.5994611978530884,barrister,0.5435216426849365
18759,garlic,lingered,0.5796794891357422,lingers,0.6126492023468018,lingers,0.4690197706222534,persist,0.5403412580490112
18760,garment,aerospace,0.543441116809845,aerospace,0.6129149198532104,Aviation,0.525589108467102,aerospace,0.4889228343963623
18761,garments,Peddigrew,0.47326144576072693,Coates,0.501153290271759,Iacone,0.45756977796554565,Campbell,0.4413321316242218
18762,garner,Wexler,0.5221452116966248,Thompson,0.499069482088089,Bartoldus,0.4826422333717346,Cohen,0.45718705654144287
18763,garnered,approximately,0.5556203126907349,Estimated,0.5142621994018555,approx,0.4399195909500122,actual,0.45822227001190186
18764,garnering,Hip_Hop_Grub,0.4968845248222351,Hip_Hop_Grub,0.4734680652618408,Bean_Coffee_Shop,0.46241721510887146,China,0.44470852613449097
18765,gas,fascinated,0.6357408761978149,fascinated,0.6389084458351135,fascinated,0.5311369895935059,fascinated,0.5297691822052002
18766,gases,karate,0.6571749448776245,kung_fu,0.7007805109024048,karate,0.5733851194381714,kung_fu,0.62355637550354
18767,gasoline,stay_afloat,0.612032413482666,stay_afloat,0.5516279935836792,stay_afloat,0.4906195402145386,stay_afloat,0.47815626859664917
18768,gasp,sameperiod,0.616094708442688,sameperiod,0.5987465381622314,Rs###.#mn,0.48129549622535706,sameperiod,0.5741673707962036
18769,gate,blends,0.5643476843833923,mixing,0.5871941447257996,blends,0.46497464179992676,blends,0.49302932620048523
18770,gates,Ascot,0.6524566411972046,Doncaster,0.6229355335235596,Ascot,0.5445560216903687,Doncaster,0.5778464674949646
18771,gateway,Religious,0.5643957257270813,religion,0.5484169721603394,Spirituality_Examiner,0.5139116048812866,Religious,0.49202752113342285
18772,gather,evacuation,0.7074140310287476,evacuation,0.6698802709579468,evacuation,0.5691422820091248,evacuation,0.5782909393310547
18773,gathered,login,0.5476789474487305,TypeKey,0.49832093715667725,Your_username,0.42956823110580444,WordPress.com_blog,0.43754568696022034
18774,gathering,Environmental_Protection_DEP,0.6725023984909058,Environmental_Protection_DEP,0.6919175386428833,Environmental_Protection_DEP,0.5642037391662598,Environmental_Protection_DEP,0.5696843862533569
18775,gatherings,guild,0.6050613522529602,guild,0.5263391733169556,Geauga_Lyric_Theater,0.44912439584732056,guild,0.4979603886604309
18776,gathers,Nitrogen,0.5892098546028137,Nitrogen,0.6150732636451721,Nitrogen,0.5335903763771057,carbon_dioxide,0.5275628566741943
18777,gauge,Cowgirls,0.5266531705856323,Drillers,0.479422390460968,Mine_Shaft,0.40677329897880554,miners,0.45147448778152466
18778,gauges,miles_southeast,0.794013261795044,miles_southwest,0.7553576231002808,miles_northwest,0.7145135402679443,miles_southwest,0.5752947330474854
18779,gave,expos,0.5840528607368469,expos,0.5744853019714355,expos,0.5187854766845703,intoned_moderator,0.48034530878067017
18780,gay,RBNZ,0.7157920598983765,RBNZ,0.6560037136077881,Reserve_Bank,0.4921295642852783,RBNZ,0.6701692342758179
18781,gay_couples,tropical_paradise,0.5282493233680725,paradises,0.5550352334976196,veritable_paradise,0.4568925201892853,tropical_paradise,0.4525853991508484
18782,gay_marriage,hardship,0.6989789009094238,hardship,0.6914541721343994,hardship,0.5499706268310547,hardship,0.606400728225708
18783,gays,Associates,0.6058022975921631,Consulting,0.588312029838562,Consulting,0.5310469269752502,consultants,0.47845685482025146
18784,gaze,Ms_Harman,0.5909945964813232,Tony_Blair,0.6138226985931396,Brompton_Road,0.46701323986053467,Gordon_Brown,0.6339683532714844
18785,gear,defied,0.6087971329689026,defied,0.6276425123214722,defied,0.49623221158981323,defying,0.5467352271080017
18786,geared,spilled,0.6243361234664917,spilled,0.6896510124206543,spilled,0.5811154246330261,spilled,0.5134359002113342
18787,geared_toward,Leafs,0.7372816801071167,Leafs,0.7929674386978149,Leafs,0.5564937591552734,Leafs,0.7111914157867432
18788,gearing,shuttle_Discovery,0.6077394485473633,Atlantis,0.5594746470451355,Atlantis,0.4799327552318573,space_shuttle_Endeavour,0.5141450762748718
18789,gears,Sarah,0.5854345560073853,Josh,0.572179913520813,Garion,0.49916401505470276,Josh,0.4281001389026642
18790,geek,politicians,0.6310861706733704,politicians,0.5704855918884277,politicians,0.5039941668510437,Policymakers,0.5082571506500244
18791,geese,Utley,0.5249457359313965,Howard,0.48449569940567017,Freno,0.43049144744873047,Utley,0.5043376684188843
18792,gel,bullet_wound,0.6982797384262085,multiple_gunshot_wounds,0.7012048959732056,multiple_gunshot_wounds,0.6465929746627808,gunshot_wounds,0.5326979756355286
18793,gelding,Milford,0.5549377799034119,Milford,0.49625521898269653,Bloomdale,0.49360495805740356,England,0.4688383638858795
18794,gem,ocean,0.5890109539031982,ocean,0.5728429555892944,promontory_overlooking,0.4583202004432678,ocean,0.5357840061187744
18795,gems,Create,0.580400824546814,creating,0.5895546078681946,Establishing,0.4856663644313812,Developing,0.5291884541511536
18796,gender,Weiermann,0.5552464723587036,FOR_SALE_Scaffold_Towers,0.5115097761154175,Weiermann,0.4804290533065796,U.S.,0.476626992225647
18797,gene,Philliber,0.48591819405555725,Anevski,0.450874388217926,Shakelford,0.4833216667175293,South_Korea,0.37189555168151855
18798,general,Huguley,0.5099747180938721,Floyd,0.5374435186386108,Chilberg,0.47146904468536377,Easley,0.46077850461006165
18799,generally,Hunterdon,0.5904287099838257,Hackensack,0.5849418640136719,Leonia,0.4784887433052063,Hunterdon,0.5396300554275513
18800,generals,aspiring,0.5909808874130249,Budding,0.5668531656265259,Budding,0.4683695435523987,aspiring,0.4877623915672302
18801,generate,Smith,0.5505892634391785,Smith,0.6581850647926331,Markette,0.4967993199825287,Smith,0.5707462430000305
18802,generated,reside,0.6792120337486267,reside,0.6540366411209106,reside,0.6031727194786072,reside,0.5022693872451782
18803,generates,Futurama_Bender_Big,0.45794808864593506,Goal_Scoring,0.47935134172439575,Deep_Shanker,0.4071013927459717,CVSS_v2_Base,0.44275736808776855
18804,generating,Squeaky_Wheel_Productions,0.5367766618728638,Tubemogul,0.46781641244888306,Squeaky_Wheel_Productions,0.44165313243865967,Morgantown_W.Va._Distributed,0.4687891900539398
18805,generation,starving,0.5455584526062012,starving,0.5452954769134521,starving,0.4604135751724243,Starved,0.4580298662185669
18806,generations,ATVs,0.6279293298721313,ATVs,0.6381479501724243,snowmobile,0.5051182508468628,ATVs,0.5584836006164551
18807,generator,premiering,0.6282497644424438,debuted,0.6234443187713623,premièred,0.5377463102340698,debuted,0.5272747278213501
18808,generators,grapple,0.6110744476318359,grapple,0.621415376663208,grapple,0.47676679491996765,grapple,0.5464081168174744
18809,generic,Hollingsworth,0.5680524110794067,Thompson,0.5764781832695007,Simpers,0.5032564401626587,Thompson,0.48174965381622314
18810,generosity,echo,0.6264044046401978,echo,0.6585332751274109,echo,0.5199158191680908,echo,0.5488471984863281
18811,generous,C._Cailloux,0.4898727536201477,Benton,0.504370927810669,Hennington,0.45380041003227234,Holcomb,0.46819645166397095
18812,generously,Social_Welfare,0.5565452575683594,Hemsworth_Miners,0.4717674255371094,Social_Welfare,0.42414823174476624,Food_Yeoh_Eng,0.476500004529953
18813,genes,testimony,0.5484116673469543,questioning,0.48218393325805664,recross_examination,0.4797116816043854,testimony,0.43881672620773315
18814,genetic,conflict,0.5530122518539429,Hostilities,0.5441908240318298,Hostilities,0.4693727493286133,United_States,0.44919613003730774
18815,genetics,C._Kooser,0.4845849275588989,Payne,0.4647086262702942,Almes,0.48237550258636475,South_Korea,0.403240442276001
18816,genius,Kayla,0.6961861848831177,Jared,0.7230483889579773,Jared,0.5932974815368652,Ethan,0.5607790946960449
18817,genocide,slippy,0.592293381690979,slippy,0.5767872333526611,slippy,0.5315906405448914,treacherous,0.5202513933181763
18818,genome,Shackelford_Melton_&,0.504549503326416,Linebacker_Wesley_Woodyard,0.49039387702941895,McKinely,0.47553759813308716,Taft,0.42823582887649536
18819,genre,fabricated,0.5345780253410339,fabricator,0.5529918670654297,Fabrication,0.5009625554084778,South_Korea,0.42114007472991943
18820,genres,enclose,0.5662060976028442,enclose,0.5301851630210876,enclose,0.5225033164024353,ventilated,0.4182371497154236
18821,gentle,paramedics,0.6122559309005737,medic,0.5475559234619141,paramedics,0.5147897005081177,ISRAEL_Established,0.4601450562477112
18822,gentleman,Unsurprisingly,0.6945985555648804,Predictably,0.7239503860473633,Oddly_enough,0.5335392951965332,Unsurprisingly,0.6308124661445618
18823,gentlemen,defensive,0.5083956718444824,defensive,0.6661794185638428,Defensive_Lineman,0.48827260732650757,defensive,0.5125319957733154
18824,gently,Baghdad,0.6384081840515137,Baghdad,0.6196006536483765,Husseiniya,0.5279202461242676,Baghdad,0.5814598202705383
18825,genuine,wild_pitch,0.7351191639900208,fielder_choice,0.7233119010925293,fielder_choice,0.6357611417770386,wild_pitch,0.599677562713623
18826,genuinely,Macomb,0.6202270984649658,Macomb,0.5871351361274719,Portage,0.5319608449935913,Macomb,0.5277405977249146
18827,geographic,sermons,0.6543782949447632,sermons,0.6664773225784302,sermons,0.5127874612808228,sermons,0.5859758853912354
18828,geographical,Baggies,0.7430908679962158,West_Bromwich_Albion,0.7717676162719727,QPR,0.6009117364883423,West_Bromwich_Albion,0.684515118598938
18829,geographically,nanotechnologies,0.6921302080154419,nanotech,0.712920069694519,Nanotechnology,0.5457248687744141,nanotech,0.6351491212844849
18830,geography,Deceptive,0.5855380892753601,deceiving,0.5447031259536743,deceitful,0.4592687487602234,misleading,0.4901506304740906
18831,geological,Lady_Raiders,0.7203621864318848,Wildcats,0.6925977468490601,Warhawks,0.545982837677002,Longhorns,0.6459787487983704
18832,geologist,frosting,0.5091820359230042,iced,0.45760148763656616,iced,0.4211597442626953,devil's_food,0.3460999131202698
18833,geology,download,0.5905753374099731,FilePlanet_Daily,0.5317022800445557,FilePlanet_Daily,0.4419378638267517,download,0.5044249296188354
18834,geometry,Shi'a,0.7293199300765991,Shi'a,0.6997431516647339,Shi'a,0.5772942304611206,Shiite,0.6869037747383118
18835,geopolitical,Exxon_Mobil,0.7006743550300598,Exxon_Mobil,0.6686854958534241,Conoco,0.5455285310745239,Exxon_Mobil,0.6157698631286621
18836,geothermal,Heineken_Cup,0.602648138999939,autumn_internationals,0.6603226661682129,Heineken_Cup,0.5168426036834717,Tri_Nations,0.6082767844200134
